v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[MW]	[kN]	[kNm]
0.000	0.000	0.086937	1.688364	0.000028	9.999999	9.999999	0.00	0.01	95.00 !	0.00	2000	5.049	3.375	24.11
0.100	0.032	0.047228	0.492812	0.115203	9.999999	9.999999	0.96	43.13	95.00 !	7.70	2000	1.474	1.834	7.04
0.200	0.064	0.058452	0.578771	0.223115	3.721142	9.999999	2.02	62.56	95.00	15.41	2000	1.731	2.269	8.26
0.300	0.095	0.067286	0.645984	0.327399	1.903811	9.999999	3.12	73.32	95.00	23.11	2000	1.932	2.612	9.22
0.400	0.127	0.074292	0.707250	0.428692	1.182399	9.999999	4.20	79.96	95.00	30.81	2000	2.115	2.884	10.10
0.500	0.159	0.079469	0.765406	0.527463	0.809461	9.999999	5.19	84.41	95.00	38.52	2000	2.289	3.085	10.93
0.600	0.191	0.083621	0.824891	0.623551	0.591496	9.724847	6.08	87.48	85.00	46.22	2000	2.467	3.246	11.78
0.700	0.223	0.085819	0.882066	0.717791	0.445993	6.548581	6.81	89.80	85.00	53.92	2000	2.638	3.332	12.60
0.800	0.255	0.086825	0.939835	0.809990	0.345465	4.674354	7.39	91.56	85.00	61.63	2000	2.811	3.371	13.42
0.900	0.286	0.087267	0.999165	0.900150	0.274350	3.490196	7.86	92.89	85.00	69.33	2000	2.988	3.388	14.27
1.000	0.318	0.086815	1.060141	0.988388	0.221073	2.699626	8.19	93.95	85.00	77.03	2000	3.171	3.370	15.14
1.100	0.350	0.085873	1.122936	1.074785	0.180723	2.148410	8.41	94.79	85.00	84.74	2000	3.358	3.334	16.03
1.200	0.382	0.084645	1.189200	1.159125	0.149684	1.752473	8.54	95.46	83.00	92.44	2000	3.557	3.286	16.98
1.300	0.414	0.083364	1.258152	1.241643	0.125612	1.458287	8.61	96.00	83.00	100.14	2000	3.763	3.236	17.97
1.400	0.446	0.081553	1.330291	1.322327	0.105956	1.234533	8.58	96.46	83.00	107.85	2000	3.978	3.166	19.00
1.420	0.452	0.081479	1.345343	1.338202	0.102898	1.196487	8.60	96.53	83.00	109.39	2000	4.024	3.163	19.21
1.520	0.484	0.079962	1.421625	1.416728	0.088133	1.030848	8.55	96.88	80.00	117.09	2000	4.252	3.104	20.30
1.540	0.490	0.079747	1.437933	1.432099	0.085628	1.002574	8.54	96.94	80.00	118.63	2000	4.300	3.096	20.53
1.560	0.497	0.079499	1.454483	1.447381	0.083187	0.975607	8.53	97.00	80.00	120.17	2000	4.350	3.086	20.77
1.580	0.503	0.079195	1.471103	1.462610	0.080784	0.949755	8.51	97.06	80.00	121.71	2000	4.400	3.075	21.01
1.600	0.509	0.079070	1.487486	1.477847	0.078652	0.924769	8.51	97.11	80.00	123.25	2000	4.449	3.070	21.24
1.620	0.516	0.078955	1.503718	1.493075	0.076611	0.900661	8.51	97.15	80.00	124.79	2000	4.497	3.065	21.47
1.720	0.547	0.081438	1.598817	1.565917	0.070099	0.800117	8.76	97.27	80.00	132.50	2000	4.782	3.162	22.83
1.820	0.579	0.094331	1.734091	1.630261	0.072519	0.732483	9.90	97.05	80.00	140.20	2000	5.186	3.662	24.76
1.920	0.611	0.105934	1.871834	1.693744	0.073177	0.673447	10.87	96.89	77.00	147.90	2000	5.598	4.113	26.73
2.020	0.643	0.115430	2.013209	1.756198	0.072037	0.621978	11.58	96.80	77.00	155.61	2000	6.021	4.481	28.75
2.120	0.675	0.124491	2.154702	1.818270	0.070535	0.575864	12.25	96.72	77.00	163.31	2000	6.444	4.833	30.77
2.220	0.707	0.131305	2.300019	1.879346	0.067845	0.535319	12.67	96.69	77.00	171.01	2000	6.879	5.098	32.84
2.320	0.738	0.138122	2.443624	1.940355	0.065347	0.498323	13.11	96.66	73.00	178.72	2000	7.308	5.362	34.89
2.420	0.770	0.143360	2.590555	2.000492	0.062336	0.465465	13.39	96.67	73.00	186.42	2000	7.748	5.566	36.99
2.520	0.802	0.150163	2.726353	2.061978	0.060215	0.433831	13.88	96.63	73.00	194.12	2000	8.154	5.830	38.93
2.620	0.834	0.161951	2.830878	2.127733	0.060079	0.400827	14.99	96.48	73.00	201.83	2000	8.466	6.287	40.42
2.720	0.866	0.175265	2.923013	2.194839	0.060325	0.369883	16.31	96.31	73.00	209.53	2000	8.742	6.804	41.74
2.820	0.898	0.188076	3.018107	2.261008	0.060225	0.342710	17.57	96.15	73.00	217.23	2000	9.026	7.302	43.10
2.920	0.929	0.200190	3.116228	2.326253	0.059788	0.318728	18.76	96.00	69.00	224.94	2000	9.320	7.772	44.50
3.020	0.961	0.211703	3.217181	2.390627	0.059109	0.297437	19.87	95.87	69.00	232.64	2000	9.622	8.219	45.94
3.120	0.993	0.224249	3.321195	2.454120	0.058663	0.278465	21.07	95.72	69.00	240.34	2000	9.933	8.706	47.43
3.220	1.025	0.234721	3.427929	2.516805	0.057648	0.261459	22.05	95.61	69.00	248.05	2000	10.252	9.113	48.95
3.320	1.057	0.244449	3.537139	2.578741	0.056475	0.246138	22.94	95.52	69.00	255.75	2000	10.579	9.490	50.51
3.420	1.089	0.253659	3.648831	2.639948	0.055225	0.232282	23.78	95.43	64.00	263.45	2000	10.913	9.848	52.10
3.520	1.120	0.262351	3.763433	2.700386	0.053918	0.219734	24.54	95.35	64.00	271.16	2000	11.255	10.185	53.74
3.620	1.152	0.274342	3.881208	2.760039	0.053311	0.208344	25.59	95.21	64.00	278.86	2000	11.608	10.651	55.42
3.720	1.184	0.282033	4.001297	2.819050	0.051898	0.197930	26.22	95.14	64.00	286.56	2000	11.967	10.949	57.14
3.820	1.216	0.289255	4.124034	2.877391	0.050477	0.188396	26.79	95.08	64.00	294.27	2000	12.334	11.230	58.89
3.920	1.248	0.296002	4.249601	2.935056	0.049053	0.179651	27.30	95.03	64.00	301.97	2000	12.709	11.492	60.68
4.020	1.280	0.302279	4.378107	2.992050	0.047632	0.171612	27.76	94.98	64.00	309.67	2000	13.094	11.736	62.52
4.120	1.311	0.315164	4.509644	3.048378	0.047280	0.164207	28.79	94.83	59.00	317.38	2000	13.487	12.236	64.40
4.220	1.343	0.320777	4.642732	3.104257	0.045869	0.157317	29.16	94.79	59.00	325.08	2000	13.885	12.454	66.30
4.320	1.375	0.325973	4.778650	3.159532	0.044479	0.150936	29.47	94.75	59.00	332.78	2000	14.291	12.655	68.24
4.420	1.407	0.330773	4.917247	3.214237	0.043115	0.145009	29.73	94.72	59.00	340.49	2000	14.706	12.842	70.22
4.520	1.439	0.335190	5.059028	3.268323	0.041779	0.139506	29.95	94.70	59.00	348.19	2000	15.130	13.013	72.24
4.620	1.471	0.339239	5.203586	3.321861	0.040473	0.134375	30.12	94.68	59.00	355.89	2000	15.562	13.170	74.30
