v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
4.720	1.502	0.354962	5.351682	3.374768	0.040573	0.129600	31.31	94.47	59.00	363.60	2000	16.005	13.781	76.42
4.820	1.534	0.358676	5.502038	3.427223	0.039314	0.125119	31.42	94.45	59.00	371.30	2000	16.455	13.925	78.57
4.920	1.566	0.362044	5.655256	3.479162	0.038087	0.120920	31.50	94.44	53.00	379.00	2000	16.913	14.056	80.75
5.020	1.598	0.365081	5.811484	3.530582	0.036891	0.116981	31.54	94.43	53.00	386.71	2000	17.380	14.174	82.99
5.120	1.630	0.367797	5.969769	3.581611	0.035728	0.113263	31.54	94.42	53.00	394.41	2000	17.854	14.279	85.25
5.220	1.662	0.370244	6.131431	3.632103	0.034601	0.109772	31.52	94.41	53.00	402.11	2000	18.337	14.374	87.55
5.240	1.668	0.388836	6.164820	3.642061	0.036062	0.109111	33.05	94.14	53.00	403.65	2000	18.437	15.096	88.03
5.340	1.700	0.391476	6.329778	3.692016	0.034959	0.105853	33.03	94.13	53.00	411.36	2000	18.930	15.198	90.39
5.360	1.706	0.391961	6.363448	3.701914	0.034742	0.105230	33.02	94.13	53.00	412.90	2000	19.031	15.217	90.87
5.380	1.713	0.392440	6.396950	3.711827	0.034526	0.104608	33.01	94.13	53.00	414.44	2000	19.131	15.236	91.35
5.400	1.719	0.392907	6.430556	3.721723	0.034312	0.103994	32.99	94.13	53.00	415.98	2000	19.232	15.254	91.83
5.420	1.725	0.393369	6.464191	3.731612	0.034099	0.103385	32.98	94.13	53.00	417.52	2000	19.332	15.272	92.31
5.440	1.732	0.393817	6.498085	3.741466	0.033887	0.102785	32.97	94.13	53.00	419.06	2000	19.434	15.289	92.79
5.460	1.738	0.394263	6.531902	3.751325	0.033678	0.102188	32.96	94.13	53.00	420.60	2000	19.535	15.307	93.27
5.480	1.744	0.394686	6.566008	3.761147	0.033468	0.101601	32.94	94.13	53.00	422.14	2000	19.637	15.323	93.76
5.500	1.751	0.395098	6.600147	3.770960	0.033260	0.101020	32.92	94.13	53.00	423.68	2000	19.739	15.339	94.25
5.520	1.757	0.395503	6.634453	3.780751	0.033053	0.100445	32.91	94.13	53.00	425.22	2000	19.842	15.355	94.74
5.540	1.763	0.395896	6.668906	3.790520	0.032847	0.099877	32.89	94.13	53.00	426.76	2000	19.945	15.370	95.23
5.560	1.770	0.396281	6.703406	3.800281	0.032643	0.099314	32.87	94.13	53.00	428.31	2000	20.048	15.385	95.72
5.580	1.776	0.396658	6.738037	3.810022	0.032440	0.098758	32.85	94.13	53.00	429.85	2000	20.151	15.400	96.22
5.600	1.783	0.397021	6.772983	3.819724	0.032239	0.098210	32.83	94.13	53.00	431.39	2000	20.256	15.414	96.71
5.620	1.789	0.397380	6.807908	3.829425	0.032039	0.097666	32.80	94.13	53.00	432.93	2000	20.360	15.428	97.21
5.640	1.795	0.397728	6.843045	3.839098	0.031840	0.097130	32.78	94.13	53.00	434.47	2000	20.465	15.441	97.72
5.660	1.802	0.398069	6.878276	3.848757	0.031642	0.096599	32.76	94.13	53.00	436.01	2000	20.571	15.454	98.22
5.680	1.808	0.401352	6.911884	3.858594	0.031679	0.096049	32.98	94.08	53.00	437.55	2000	20.671	15.582	98.70
5.780	1.840	0.402935	7.090801	3.906509	0.030713	0.093509	32.84	94.08	47.00	445.25	2000	21.206	15.643	101.25
5.800	1.846	0.403216	7.127270	3.916006	0.030523	0.093021	32.81	94.09	47.00	446.79	2000	21.315	15.654	101.77
5.820	1.853	0.429599	7.163737	3.925501	0.032297	0.092536	34.90	93.71	47.00	448.33	2000	21.425	16.678	102.29
5.920	1.884	0.508861	7.323252	3.975401	0.036974	0.089883	41.14	92.59	47.00	456.04	2000	21.902	19.756	104.57
6.020	1.916	0.512030	7.501924	4.023111	0.035978	0.087564	41.09	92.57	40.00	463.74	2000	22.436	19.879	107.12
6.040	1.923	0.512603	7.537342	4.032676	0.035781	0.087106	41.08	92.57	40.00	465.28	2000	22.542	19.901	107.63
6.060	1.929	0.513152	7.572716	4.042242	0.035583	0.086651	41.06	92.56	40.00	466.82	2000	22.648	19.922	108.13
6.080	1.935	0.513671	7.608106	4.051802	0.035385	0.086200	41.05	92.56	40.00	468.36	2000	22.754	19.942	108.64
6.100	1.942	0.514187	7.643333	4.061377	0.035189	0.085750	41.04	92.56	40.00	469.90	2000	22.859	19.962	109.14
6.120	1.948	0.514670	7.678403	4.070964	0.034992	0.085302	41.02	92.56	40.00	471.44	2000	22.964	19.981	109.64
6.140	1.954	0.515142	7.713703	4.080523	0.034796	0.084859	41.00	92.56	40.00	472.98	2000	23.069	20.000	110.15
6.160	1.961	0.515596	7.748878	4.090091	0.034601	0.084418	40.99	92.55	40.00	474.53	2000	23.175	20.017	110.65
6.180	1.967	0.516036	7.784042	4.099656	0.034407	0.083981	40.97	92.55	40.00	476.07	2000	23.280	20.034	111.15
6.200	1.974	0.516451	7.819139	4.109225	0.034213	0.083546	40.95	92.55	40.00	477.61	2000	23.385	20.050	111.65
6.220	1.980	0.516860	7.854043	4.118810	0.034020	0.083112	40.93	92.55	40.00	479.15	2000	23.489	20.066	112.15
6.240	1.986	0.517239	7.888958	4.128389	0.033827	0.082681	40.91	92.55	40.00	480.69	2000	23.593	20.081	112.65
6.260	1.993	0.517608	7.924045	4.137947	0.033635	0.082255	40.89	92.55	40.00	482.23	2000	23.698	20.095	113.15
6.280	1.999	0.517965	7.959048	4.147510	0.033444	0.081832	40.87	92.55	40.00	483.77	2000	23.803	20.109	113.65
6.300	2.005	0.518310	7.993973	4.157076	0.033254	0.081411	40.85	92.55	40.00	485.31	2000	23.908	20.123	114.15
6.320	2.012	0.518615	8.029007	4.166628	0.033064	0.080994	40.82	92.55	40.00	486.85	2000	24.012	20.134	114.65
6.340	2.018	0.518930	8.063836	4.176196	0.032875	0.080578	40.80	92.55	33.00	488.39	2000	24.116	20.147	115.15
6.360	2.024	0.519215	8.098939	4.185733	0.032687	0.080167	40.77	92.55	33.00	489.93	2000	24.221	20.158	115.65
6.380	2.031	0.519498	8.133716	4.195299	0.032500	0.079757	40.75	92.55	33.00	491.47	2000	24.325	20.169	116.15
6.400	2.037	0.519763	8.168601	4.204849	0.032314	0.079350	40.72	92.55	33.00	493.01	2000	24.430	20.179	116.64
