v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[kW]	[kN]	[kNm]
0.000	0.000	0.322966	0.296173	0.000040	9.999999	9.999999	0.00	0.01	95.00 !	0.00	2000	885.76	12.539	4.2292
0.100	0.032	0.301459	0.271921	0.129751	9.999999	9.999999	11.09	19.58	85.00 !	7.70	2000	813.23	11.704	3.8829
0.200	0.064	0.336739	0.301537	0.254192	9.999999	9.999999	22.33	33.35	2.00 !	15.41	2000	901.81	13.073	4.3058
0.300	0.095	0.332689	0.309601	0.379281	9.413170	9.999999	32.24	45.28	0.00 !	23.11	2000	925.92	12.916	4.4209
0.400	0.127	0.229130	0.185947	0.559992	3.646717	7.398593	49.29	61.51	0.00	30.81	2000	556.11	8.896	2.6552
0.500	0.159	0.308238	0.298792	0.636643	3.139689	6.086941	51.58	63.29	0.00	38.52	2000	893.60	11.967	4.2666
0.600	0.191	0.286266	0.292409	0.767279	2.024916	3.447279	58.74	70.32	0.00	46.22	2000	874.50	11.114	4.1755
0.700	0.223	0.257818	0.277999	0.904252	1.339852	2.063904	64.92	76.43	0.00	53.92	2000	831.41	10.009	3.9697
0.800	0.255	0.225890	0.257529	1.049360	0.898787	1.280846	70.17	81.65	0.00	61.63	2000	770.19	8.770	3.6774
0.900	0.286	0.191280	0.231252	1.206217	0.601345	0.807789	74.44	86.10	0.00	69.33	2000	691.60	7.426	3.3022
1.000	0.318	0.154887	0.199485	1.380442	0.394416	0.507983	77.64	89.87	0.00	77.03	2000	596.60	6.013	2.8485
1.100	0.350	0.116804	0.161917	1.583195	0.245816	0.309780	79.35	93.09	0.00	84.74	2000	484.24	4.535	2.3121
1.200	0.382	0.076841	0.117952	1.840095	0.135886	0.173821	78.18	95.86	0.00	92.44	2000	352.76	2.983	1.6843
1.220	0.388	0.068663	0.108400	1.902629	0.117474	0.152016	77.28	96.36	0.00	93.98	2000	324.19	2.666	1.5479
1.240	0.395	0.060529	0.098718	1.970346	0.100244	0.131847	76.03	96.85	0.00	95.52	2000	295.24	2.350	1.4096
1.260	0.401	0.052271	0.088706	2.045410	0.083841	0.112922	74.25	97.33	0.00	97.06	2000	265.29	2.029	1.2667
1.280	0.407	0.043988	0.078477	2.129420	0.068369	0.095291	71.75	97.79	0.00	98.60	2000	234.70	1.708	1.1206
1.300	0.414	0.035640	0.067980	2.225706	0.053702	0.078793	68.16	98.24	0.00	100.14	2000	203.31	1.384	0.9707
1.320	0.420	0.027192	0.057168	2.339608	0.039740	0.063295	62.78	98.68	0.00	101.68	2000	170.97	1.056	0.8163
1.340	0.427	0.018629	0.046019	2.480380	0.026420	0.048703	54.25	99.11	0.00	103.22	2000	137.63	0.723	0.6571
1.360	0.433	0.010080	0.034695	2.663703	0.013877	0.035123	39.51	99.53	0.00	104.77	2000	103.76	0.391	0.4954
1.380	0.439	0.001385	0.022986	2.934862	0.001852	0.022272	8.31	99.94	0.00	106.31	2000	68.74	0.054	0.3282
1.400	0.446	-0.007338	0.011048	3.447222	-0.009534	0.010253	0.00	99.99	0.00	107.85	2000	33.04	-0.285	0.1578
1.420	0.452	-0.016129	-0.001177	5.472009	-0.020370	-0.001047	0.10	51.15	0.00	109.39	2000	-3.52	-0.626	-0.0168
