v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[MW]	[kN]	[kNm]
0.000	0.000	0.291183	0.925577	0.000032	9.999999	9.999999	0.00	0.01	95.00 !	0.00	2000	2.7681	11.305	13.217
0.100	0.032	0.188669	0.606899	0.110504	9.999999	9.999999	3.11	24.38	95.00 !	7.70	2000	1.8150	7.325	8.666
0.200	0.064	0.215277	0.700069	0.214784	9.999999	9.999999	6.15	40.22	95.00 !	15.41	2000	2.0937	8.358	9.997
0.300	0.095	0.231763	0.761107	0.316834	6.557544	9.999999	9.14	51.75	85.00 !	23.11	2000	2.2762	8.998	10.868
0.400	0.127	0.248168	0.825064	0.415683	3.949715	9.999999	12.03	60.03	85.00	30.81	2000	2.4675	9.635	11.782
0.500	0.159	0.264057	0.882181	0.512694	2.689662	9.999999	14.97	66.14	85.00	38.52	2000	2.6383	10.252	12.597
0.600	0.191	0.276871	0.925973	0.609301	1.958461	9.999999	17.94	70.90	85.00	46.22	2000	2.7693	10.749	13.222
0.700	0.223	0.288514	0.948447	0.707449	1.499379	7.041401	21.29	74.61	85.00	53.92	2000	2.8365	11.201	13.543
0.800	0.255	0.303551	0.959283	0.806679	1.207791	4.771083	25.31	77.30	85.00	61.63	2000	2.8689	11.785	13.698
0.900	0.286	0.317733	0.971724	0.905178	0.998890	3.394340	29.43	79.46	85.00	69.33	2000	2.9061	12.335	13.876
1.000	0.318	0.330986	0.986946	1.002631	0.842848	2.513237	33.54	81.21	85.00	77.03	2000	2.9517	12.850	14.093
1.100	0.350	0.343008	1.005861	1.098715	0.721870	1.924420	37.51	82.67	80.00	84.74	2000	3.0082	13.317	14.363
1.200	0.382	0.353340	1.028674	1.193234	0.624842	1.515913	41.22	83.92	77.00	92.44	2000	3.0765	13.718	14.689
1.300	0.414	0.361783	1.054805	1.286201	0.545133	1.222594	44.59	85.00	73.00	100.14	2000	3.1546	14.046	15.062
1.400	0.446	0.369169	1.084180	1.377551	0.479633	1.006138	47.67	85.94	64.00	107.85	2000	3.2425	14.332	15.482
1.500	0.477	0.376060	1.117758	1.466972	0.425613	0.843362	50.47	86.74	59.00	115.55	2000	3.3429	14.600	15.961
1.600	0.509	0.384369	1.156082	1.554255	0.382339	0.718735	53.20	87.37	53.00	123.25	2000	3.4575	14.923	16.508
1.700	0.541	0.398706	1.194332	1.640680	0.351314	0.619040	56.75	87.73	47.00	130.96	2000	3.5719	15.479	17.054
1.800	0.573	0.416727	1.220860	1.729575	0.327527	0.533075	61.44	87.93	40.00	138.66	2000	3.6512	16.179	17.433
1.900	0.605	0.425083	1.245917	1.818259	0.299852	0.462561	64.82	88.33	33.00	146.36	2000	3.7262	16.503	17.791
2.000	0.637	0.423427	1.277078	1.904524	0.269562	0.406507	66.31	88.90	33.00	154.07	2000	3.8194	16.439	18.236
2.100	0.668	0.419047	1.302823	1.991784	0.241971	0.358235	67.55	89.47	25.00	161.77	2000	3.8963	16.269	18.604
2.200	0.700	0.412169	1.322759	2.080303	0.216855	0.316339	68.55	90.04	17.00	169.47	2000	3.9560	16.002	18.888
2.300	0.732	0.404800	1.335287	2.170766	0.194861	0.279467	69.73	90.56	0.00	177.18	2000	3.9934	15.716	19.067
2.400	0.764	0.405610	1.320693	2.270131	0.179319	0.243281	73.71	90.86	0.00	184.88	2000	3.9498	15.747	18.859
2.500	0.796	0.392510	1.314990	2.366767	0.159923	0.214310	74.62	91.42	0.00	192.58	2000	3.9327	15.239	18.777
2.600	0.828	0.377582	1.301730	2.466432	0.142234	0.188600	75.42	91.97	0.00	200.29	2000	3.8931	14.659	18.588
2.700	0.859	0.361311	1.282264	2.569025	0.126210	0.165892	76.08	92.51	0.00	207.99	2000	3.8349	14.027	18.310
2.800	0.891	0.344079	1.257803	2.674456	0.111759	0.145908	76.60	93.03	0.00	215.69	2000	3.7617	13.358	17.961
2.900	0.923	0.324431	1.223561	2.785306	0.098235	0.127753	76.89	93.57	0.00	223.40	2000	3.6593	12.596	17.472
3.000	0.955	0.303269	1.181351	2.901653	0.085808	0.111418	77.01	94.11	0.00	231.10	2000	3.5331	11.774	16.869
3.100	0.987	0.281750	1.134931	3.022511	0.074659	0.097012	76.96	94.63	0.00	238.80	2000	3.3942	10.938	16.206
3.120	0.993	0.277400	1.125134	3.047289	0.072567	0.094337	76.92	94.73	0.00	240.34	2000	3.3649	10.770	16.066
3.140	0.999	0.273047	1.115201	3.072268	0.070521	0.091728	76.88	94.83	0.00	241.88	2000	3.3352	10.601	15.925
3.160	1.006	0.268666	1.105054	3.097494	0.068514	0.089179	76.83	94.93	0.00	243.43	2000	3.3049	10.431	15.780
3.180	1.012	0.264279	1.094753	3.122942	0.066550	0.086691	76.77	95.03	0.00	244.97	2000	3.2741	10.260	15.633
3.200	1.019	0.259882	1.084302	3.148618	0.064627	0.084264	76.70	95.13	0.00	246.51	2000	3.2428	10.090	15.483
3.220	1.025	0.255453	1.073629	3.174571	0.062739	0.081889	76.61	95.23	0.00	248.05	2000	3.2109	9.918	15.331
3.240	1.031	0.251017	1.062802	3.200770	0.060891	0.079572	76.52	95.33	0.00	249.59	2000	3.1785	9.745	15.176
3.260	1.038	0.246560	1.051788	3.227245	0.059078	0.077306	76.42	95.43	0.00	251.13	2000	3.1456	9.572	15.019
3.280	1.044	0.242107	1.040652	3.253964	0.057306	0.075097	76.31	95.53	0.00	252.67	2000	3.1123	9.399	14.860
3.300	1.050	0.237625	1.029305	3.280992	0.055565	0.072936	76.18	95.62	0.00	254.21	2000	3.0783	9.225	14.698
3.320	1.057	0.233128	1.017779	3.308319	0.053859	0.070824	76.05	95.72	0.00	255.75	2000	3.0439	9.051	14.533
3.340	1.063	0.228608	1.006056	3.335969	0.052184	0.068758	75.90	95.82	0.00	257.29	2000	3.0088	8.875	14.366
3.360	1.070	0.224089	0.994202	3.363910	0.050545	0.066742	75.73	95.91	0.00	258.83	2000	2.9734	8.700	14.197
3.380	1.076	0.219551	0.982156	3.392193	0.048937	0.064769	75.56	96.01	0.00	260.37	2000	2.9373	8.524	14.025
3.400	1.082	0.214988	0.969909	3.420840	0.047358	0.062840	75.36	96.10	0.00	261.91	2000	2.9007	8.347	13.850
3.420	1.089	0.210406	0.957486	3.449845	0.045808	0.060953	75.15	96.20	0.00	263.45	2000	2.8635	8.169	13.672
3.440	1.095	0.205825	0.944923	3.479198	0.044292	0.059110	74.93	96.29	0.00	264.99	2000	2.8260	7.991	13.493
3.460	1.101	0.201228	0.932181	3.508941	0.042803	0.057308	74.69	96.38	0.00	266.54	2000	2.7879	7.812	13.311
3.480	1.108	0.196607	0.919237	3.539108	0.041341	0.055543	74.43	96.48	0.00	268.08	2000	2.7492	7.633	13.126
3.500	1.114	0.191978	0.906136	3.569681	0.039908	0.053818	74.15	96.57	0.00	269.62	2000	2.7100	7.453	12.939
3.520	1.120	0.187324	0.892827	3.600719	0.038499	0.052129	73.85	96.66	0.00	271.16	2000	2.6702	7.273	12.749
3.540	1.127	0.182656	0.879342	3.632216	0.037116	0.050476	73.53	96.75	0.00	272.70	2000	2.6298	7.091	12.557
3.560	1.133	0.177973	0.865679	3.664195	0.035760	0.048859	73.19	96.85	0.00	274.24	2000	2.5890	6.910	12.361
3.580	1.140	0.173282	0.851862	3.696657	0.034429	0.047278	72.82	96.94	0.00	275.78	2000	2.5477	6.727	12.164
3.600	1.146	0.168564	0.837826	3.729681	0.033121	0.045728	72.43	97.03	0.00	277.32	2000	2.5057	6.544	11.964
3.620	1.152	0.163846	0.823660	3.763214	0.031839	0.044214	72.01	97.12	0.00	278.86	2000	2.4633	6.361	11.761
3.640	1.159	0.159111	0.809308	3.797332	0.030580	0.042732	71.56	97.21	0.00	280.40	2000	2.4204	6.177	11.557
3.660	1.165	0.154342	0.794716	3.832117	0.029340	0.041277	71.08	97.30	0.00	281.94	2000	2.3768	5.992	11.348
3.680	1.171	0.149568	0.779990	3.867497	0.028124	0.039855	70.57	97.39	0.00	283.48	2000	2.3327	5.807	11.138
3.700	1.178	0.144799	0.765128	3.903507	0.026934	0.038465	70.02	97.48	0.00	285.02	2000	2.2883	5.622	10.926
3.720	1.184	0.139979	0.749980	3.940333	0.025758	0.037099	69.43	97.57	0.00	286.56	2000	2.2430	5.434	10.709
3.740	1.190	0.135165	0.734718	3.977841	0.024607	0.035764	68.80	97.66	0.00	288.10	2000	2.1973	5.248	10.491
3.760	1.197	0.130339	0.719282	4.016132	0.023477	0.034457	68.13	97.75	0.00	289.65	2000	2.1512	5.060	10.271
3.780	1.203	0.125481	0.703615	4.055317	0.022363	0.033174	67.41	97.84	0.00	291.19	2000	2.1043	4.872	10.047
3.800	1.210	0.120621	0.687805	4.095346	0.021271	0.031919	66.64	97.93	0.00	292.73	2000	2.0570	4.683	9.822
3.820	1.216	0.115743	0.671797	4.136335	0.020198	0.030689	65.81	98.01	0.00	294.27	2000	2.0091	4.494	9.593
3.840	1.222	0.110845	0.655601	4.178335	0.019142	0.029484	64.92	98.10	0.00	295.81	2000	1.9607	4.303	9.362
3.860	1.229	0.105929	0.639210	4.221421	0.018104	0.028302	63.97	98.19	0.00	297.35	2000	1.9117	4.113	9.128
3.880	1.235	0.100999	0.622648	4.265630	0.017084	0.027145	62.94	98.28	0.00	298.89	2000	1.8621	3.921	8.891
3.900	1.241	0.096061	0.605934	4.311015	0.016083	0.026012	61.83	98.37	0.00	300.43	2000	1.8122	3.729	8.652
3.920	1.248	0.091102	0.589003	4.357753	0.015097	0.024900	60.63	98.45	0.00	301.97	2000	1.7615	3.537	8.411
3.940	1.254	0.086139	0.571925	4.405837	0.014130	0.023812	59.34	98.54	0.00	303.51	2000	1.7105	3.344	8.167
3.960	1.261	0.081164	0.554678	4.455403	0.013180	0.022746	57.94	98.63	0.00	305.05	2000	1.6589	3.151	7.921
3.980	1.267	0.076150	0.537162	4.506735	0.012242	0.021697	56.42	98.72	0.00	306.59	2000	1.6065	2.956	7.670
4.000	1.273	0.071156	0.519584	4.559621	0.011325	0.020674	54.78	98.80	0.00	308.13	2000	1.5539	2.763	7.419
4.020	1.280	0.066138	0.501804	4.614443	0.010422	0.019670	52.98	98.89	0.00	309.67	2000	1.5007	2.568	7.166
