v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[kW]	[kN]	[kNm]
0.000	0.000	0.314068	0.148495	0.000046	9.999999	9.999999	0.01	0.01	5.00 !	0.00	2000	444.10	12.193	2.1204
0.050	0.016	0.256280	0.126882	0.075560	9.999999	9.999999	10.10	11.25	85.00 !	3.85	2000	379.47	9.950	1.8118
0.100	0.032	0.316357	0.146848	0.146766	9.999999	9.999999	21.54	19.12	4.00 !	7.70	2000	439.18	12.282	2.0969
0.150	0.048	0.245024	0.152683	0.218441	9.999999	9.999999	24.07	30.45	0.00 !	11.56	2000	456.63	9.513	2.1802
0.200	0.064	0.233264	0.150709	0.292013	9.999999	9.999999	30.96	38.94	0.00 !	15.41	2000	450.72	9.056	2.1521
0.250	0.080	0.210337	0.142162	0.369303	8.569900	9.999999	36.99	47.53	0.00 !	19.26	2000	425.16	8.166	2.0300
0.300	0.095	0.207095	0.143835	0.442128	5.859583	9.999999	43.19	53.79	0.00 !	23.11	2000	430.17	8.040	2.0539
0.350	0.111	0.193531	0.139360	0.519088	4.023033	8.276994	48.60	60.16	0.00	26.96	2000	416.78	7.514	1.9900
0.400	0.127	0.179617	0.134040	0.597879	2.858693	5.333266	53.60	65.90	0.00	30.81	2000	400.87	6.973	1.9140
0.450	0.143	0.163296	0.127053	0.679854	2.053486	3.550475	57.84	71.26	0.00	34.66	2000	379.98	6.340	1.8143
0.500	0.159	0.147235	0.119441	0.764785	1.499719	2.433233	61.63	76.02	0.00	38.52	2000	357.21	5.716	1.7056
0.550	0.175	0.130681	0.110846	0.853923	1.100085	1.696567	64.84	80.28	0.00	42.37	2000	331.51	5.073	1.5828
0.600	0.191	0.113429	0.101086	0.948883	0.802343	1.191732	67.33	84.13	0.00	46.22	2000	302.32	4.404	1.4435
0.650	0.207	0.095467	0.090080	1.051932	0.575397	0.835272	68.89	87.59	0.00	50.07	2000	269.40	3.706	1.2863
0.700	0.223	0.076718	0.077691	1.166875	0.398694	0.576786	69.12	90.72	0.00	53.92	2000	232.35	2.978	1.1094
0.750	0.239	0.057465	0.064032	1.299518	0.260150	0.386502	67.31	93.53	0.00	57.78	2000	191.50	2.231	0.9143
0.760	0.242	0.053523	0.061119	1.329162	0.235967	0.354550	66.55	94.05	0.00	58.55	2000	182.79	2.078	0.8728
0.770	0.245	0.049582	0.058170	1.360037	0.212954	0.324465	65.63	94.57	0.00	59.32	2000	173.97	1.925	0.8306
0.780	0.248	0.045638	0.055178	1.392325	0.191018	0.296091	64.51	95.07	0.00	60.09	2000	165.02	1.772	0.7879
0.790	0.251	0.041626	0.052097	1.426477	0.169844	0.269073	63.12	95.56	0.00	60.86	2000	155.81	1.616	0.7439
0.800	0.255	0.037613	0.048974	1.462505	0.149656	0.243576	61.44	96.05	0.00	61.63	2000	146.47	1.460	0.6993
0.810	0.258	0.033554	0.045775	1.500924	0.130231	0.219340	59.37	96.52	0.00	62.40	2000	136.90	1.303	0.6537
0.820	0.261	0.029448	0.042500	1.542186	0.111523	0.196284	56.82	96.99	0.00	63.17	2000	127.10	1.143	0.6069
0.830	0.264	0.025311	0.039158	1.586768	0.093561	0.174393	53.65	97.45	0.00	63.94	2000	117.11	0.983	0.5592
0.840	0.267	0.021281	0.035862	1.634373	0.076803	0.154079	49.85	97.88	0.00	64.71	2000	107.25	0.826	0.5121
0.850	0.271	0.017092	0.032398	1.687779	0.060243	0.134339	44.84	98.32	0.00	65.48	2000	96.89	0.664	0.4626
0.860	0.274	0.012863	0.028856	1.747636	0.044289	0.115527	38.34	98.75	0.00	66.25	2000	86.30	0.499	0.4121
0.870	0.277	0.008812	0.025423	1.813319	0.029648	0.098312	30.16	99.16	0.00	67.02	2000	76.03	0.342	0.3630
0.880	0.280	0.004569	0.021785	1.891694	0.015024	0.081405	18.46	99.57	0.00	67.79	2000	65.15	0.177	0.3111
0.890	0.283	0.000312	0.018094	1.985554	0.001002	0.065360	1.53	99.97	0.00	68.56	2000	54.11	0.012	0.2584
0.900	0.286	-0.003982	0.014329	2.103775	-0.012519	0.050053	0.00	99.99	0.00	69.33	2000	42.85	-0.155	0.2046
0.910	0.290	-0.008272	0.010526	2.262519	-0.025436	0.035568	0.00	99.99	0.00	70.10	2000	31.48	-0.321	0.1503
0.920	0.293	-0.012668	0.006583	2.512502	-0.038112	0.021527	0.00	99.99	0.00	70.87	2000	19.69	-0.492	0.0940
0.930	0.296	-0.016994	0.002660	3.044431	-0.050036	0.008421	0.00	99.99	0.00	71.64	2000	7.96	-0.660	0.0380
0.940	0.299	-0.021388	-0.001367	3.515271	-0.061639	-0.004192	0.42	54.62	0.00	72.41	2000	-4.09	-0.830	-0.0195
