v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[MW]	[kN]	[kNm]
0.000	0.000	0.317885	0.666936	0.000034	9.999999	9.999999	0.00	0.01	95.00 !	0.00	2000	1.9946	12.341	9.524
0.100	0.032	0.228639	0.520578	0.113947	9.999999	9.999999	4.39	22.32	95.00 !	7.70	2000	1.5569	8.877	7.434
0.200	0.064	0.292583	0.647653	0.218153	9.999999	9.999999	9.04	35.44	95.00 !	15.41	2000	1.9369	11.359	9.248
0.300	0.095	0.304880	0.663597	0.325642	8.626328	9.999999	13.78	46.83	85.00 !	23.11	2000	1.9846	11.836	9.476
0.400	0.127	0.314993	0.675319	0.432671	5.013273	9.999999	18.66	55.58	85.00 !	30.81	2000	2.0197	12.229	9.643
0.500	0.159	0.325578	0.681015	0.539931	3.316305	9.999999	23.90	62.26	85.00	38.52	2000	2.0367	12.640	9.725
0.600	0.191	0.335323	0.687998	0.646597	2.371922	8.110979	29.24	67.46	85.00	46.22	2000	2.0576	13.018	9.824
0.700	0.223	0.344213	0.698060	0.752176	1.788837	5.182495	34.52	71.58	83.00	53.92	2000	2.0877	13.363	9.968
0.800	0.255	0.351248	0.712338	0.856156	1.397570	3.542878	39.45	74.92	77.00	61.63	2000	2.1304	13.637	10.172
0.900	0.286	0.356496	0.729573	0.958581	1.120753	2.548480	43.98	77.68	69.00	69.33	2000	2.1819	13.840	10.418
1.000	0.318	0.361196	0.750976	1.058948	0.919779	1.912345	48.10	79.93	59.00	77.03	2000	2.2459	14.023	10.724
1.100	0.350	0.369162	0.775125	1.157493	0.776912	1.482975	52.39	81.64	53.00	84.74	2000	2.3182	14.332	11.068
1.200	0.382	0.389773	0.771684	1.263844	0.689270	1.137197	60.61	82.59	40.00	92.44	2000	2.3079	15.132	11.019
1.300	0.414	0.387253	0.791698	1.362171	0.583509	0.917634	63.59	84.13	33.00	100.14	2000	2.3677	15.034	11.305
1.400	0.446	0.380256	0.805213	1.461995	0.494037	0.747251	66.11	85.58	25.00	107.85	2000	2.4081	14.763	11.498
1.500	0.477	0.369938	0.813565	1.563194	0.418685	0.613845	68.21	86.92	0.00	115.55	2000	2.4331	14.362	11.617
1.600	0.509	0.361233	0.803033	1.671758	0.359326	0.499245	71.97	88.04	0.00	123.25	2000	2.4016	14.024	11.467
1.700	0.541	0.346734	0.779249	1.786955	0.305520	0.403896	75.64	89.17	0.00	130.96	2000	2.3305	13.461	11.127
1.800	0.573	0.325568	0.756964	1.903082	0.255880	0.330520	77.42	90.35	0.00	138.66	2000	2.2638	12.640	10.809
1.900	0.605	0.302566	0.728025	2.024530	0.213429	0.270287	78.96	91.45	0.00	146.36	2000	2.1773	11.747	10.396
2.000	0.637	0.277181	0.691155	2.153351	0.176459	0.220001	80.21	92.51	0.00	154.07	2000	2.0670	10.761	9.869
2.100	0.668	0.248974	0.644324	2.292970	0.143766	0.177169	81.15	93.54	0.00	161.77	2000	1.9270	9.666	9.201
2.200	0.700	0.220129	0.592237	2.443001	0.115817	0.141634	81.77	94.50	0.00	169.47	2000	1.7712	8.546	8.457
2.300	0.732	0.190628	0.534768	2.606722	0.091764	0.111924	81.99	95.40	0.00	177.18	2000	1.5993	7.401	7.636
2.400	0.764	0.160380	0.471609	2.789297	0.070904	0.086874	81.62	96.25	0.00	184.88	2000	1.4104	6.227	6.734
2.420	0.770	0.154279	0.458370	2.828604	0.067083	0.082359	81.45	96.42	0.00	186.42	2000	1.3708	5.990	6.545
2.440	0.777	0.148136	0.444875	2.869078	0.063361	0.077984	81.25	96.58	0.00	187.96	2000	1.3305	5.751	6.353
2.460	0.783	0.141965	0.431151	2.910779	0.059738	0.073750	81.00	96.74	0.00	189.50	2000	1.2894	5.512	6.157
2.480	0.789	0.135771	0.417208	2.953801	0.056214	0.069653	80.71	96.91	0.00	191.04	2000	1.2477	5.271	5.958
2.500	0.796	0.129546	0.403031	2.998281	0.052782	0.065684	80.36	97.06	0.00	192.58	2000	1.2053	5.029	5.755
2.520	0.802	0.123287	0.388607	3.044376	0.049437	0.061837	79.95	97.22	0.00	194.12	2000	1.1622	4.786	5.549
2.540	0.809	0.117021	0.374004	3.092136	0.046189	0.058119	79.47	97.38	0.00	195.66	2000	1.1185	4.543	5.341
2.560	0.815	0.110726	0.359165	3.141820	0.043024	0.054515	78.92	97.53	0.00	197.21	2000	1.0742	4.299	5.129
2.580	0.821	0.104392	0.344070	3.193673	0.039936	0.051018	78.28	97.69	0.00	198.75	2000	1.0290	4.053	4.913
2.600	0.828	0.098037	0.328756	3.247870	0.036930	0.047631	77.53	97.84	0.00	200.29	2000	0.9832	3.806	4.694
2.620	0.834	0.091657	0.313216	3.304703	0.034002	0.044349	76.67	97.99	0.00	201.83	2000	0.9367	3.558	4.473
2.640	0.840	0.085239	0.297418	3.364578	0.031144	0.041162	75.66	98.14	0.00	203.37	2000	0.8895	3.309	4.247
2.660	0.847	0.078799	0.281397	3.427817	0.028359	0.038073	74.49	98.29	0.00	204.91	2000	0.8416	3.059	4.018
2.680	0.853	0.072335	0.265154	3.494903	0.025646	0.035078	73.11	98.44	0.00	206.45	2000	0.7930	2.808	3.786
2.700	0.859	0.065840	0.248666	3.566486	0.022999	0.032171	71.49	98.59	0.00	207.99	2000	0.7437	2.556	3.551
2.720	0.866	0.059316	0.231935	3.643305	0.020416	0.029349	69.56	98.73	0.00	209.53	2000	0.6936	2.303	3.312
2.740	0.872	0.052785	0.215025	3.726084	0.017904	0.026618	67.26	98.88	0.00	211.07	2000	0.6431	2.049	3.070
2.760	0.879	0.046218	0.197852	3.816288	0.015450	0.023964	64.47	99.02	0.00	212.61	2000	0.5917	1.794	2.825
2.780	0.885	0.039622	0.180440	3.915420	0.013055	0.021386	61.05	99.17	0.00	214.15	2000	0.5396	1.538	2.577
2.800	0.891	0.033007	0.162811	4.025512	0.010721	0.018886	56.76	99.31	0.00	215.69	2000	0.4869	1.281	2.325
2.820	0.898	0.026255	0.144644	4.151349	0.008407	0.016424	51.19	99.45	0.00	217.23	2000	0.4326	1.019	2.065
2.840	0.904	0.019392	0.125991	4.297839	0.006122	0.014006	43.71	99.60	0.00	218.77	2000	0.3768	0.753	1.799
2.860	0.910	0.012685	0.107618	4.466724	0.003949	0.011715	33.71	99.74	0.00	220.32	2000	0.3219	0.492	1.537
2.880	0.917	0.005933	0.088957	4.672574	0.001821	0.009483	19.21	99.88	0.00	221.86	2000	0.2660	0.230	1.270
2.900	0.923	-0.000928	0.069807	4.938762	-0.000281	0.007289	0.00	99.99	0.00	223.40	2000	0.2088	-0.036	0.997
2.920	0.929	-0.007647	0.050918	5.296731	-0.002284	0.005208	0.00	99.99	0.00	224.94	2000	0.1523	-0.297	0.727
2.940	0.936	-0.014452	0.031612	5.866471	-0.004258	0.003168	0.00	99.99	0.00	226.48	2000	0.0945	-0.561	0.451
2.960	0.942	-0.021296	0.012035	7.164758	-0.006189	0.001182	0.00	99.99	0.00	228.02	2000	0.0360	-0.827	0.172
2.980	0.949	-0.028243	-0.007997	7.827637	-0.008099	-0.000770	0.08	41.22	0.00	229.56	2000	-0.0239	-1.096	-0.114
