v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[kW]	[kN]	[kNm]
0.000	0.000	0.239205	0.054686	0.000056	9.999999	9.999999	0.01	0.01	0.00 !	0.00	2000	163.55	9.287	0.7809
0.050	0.016	0.205752	0.045951	0.092579	9.999999	9.999999	22.39	12.55	5.00 !	3.85	2000	137.43	7.988	0.6562
0.100	0.032	0.129296	0.055128	0.178536	9.999999	9.999999	23.45	28.82	0.00 !	7.70	2000	164.87	5.020	0.7872
0.150	0.048	0.096093	0.051772	0.271189	9.999999	9.999999	27.84	44.43	0.00 !	11.56	2000	154.83	3.731	0.7393
0.200	0.064	0.084181	0.048988	0.365605	5.359156	9.999999	34.37	56.17	0.00 !	15.41	2000	146.51	3.268	0.6995
0.250	0.080	0.071209	0.045636	0.463531	2.901332	7.437483	39.01	66.61	0.00	19.26	2000	136.48	2.765	0.6517
0.300	0.095	0.058200	0.041530	0.566826	1.646718	3.916816	42.04	75.56	0.00	23.11	2000	124.20	2.260	0.5930
0.350	0.111	0.044103	0.036684	0.677912	0.916786	2.178766	42.08	83.40	0.00	26.96	2000	109.71	1.712	0.5238
0.400	0.127	0.027459	0.031106	0.800737	0.437020	1.237684	35.31	90.64	0.00	30.81	2000	93.03	1.066	0.4442
0.410	0.131	0.025578	0.029779	0.827943	0.387478	1.100284	35.22	91.53	0.00	31.58	2000	89.06	0.993	0.4252
0.420	0.134	0.021082	0.028599	0.855023	0.304340	0.982992	30.96	93.11	0.00	32.35	2000	85.53	0.818	0.4084
0.430	0.137	0.017742	0.027273	0.883733	0.244353	0.873518	27.97	94.32	0.00	33.12	2000	81.57	0.689	0.3894
0.440	0.140	0.013997	0.025882	0.913802	0.184109	0.773723	23.80	95.60	0.00	33.89	2000	77.41	0.543	0.3696
0.450	0.143	0.012528	0.024389	0.945745	0.157537	0.681545	23.11	96.19	0.00	34.67	2000	72.94	0.486	0.3483
0.460	0.146	0.009272	0.022984	0.978302	0.111582	0.601299	18.56	97.24	0.00	35.44	2000	68.74	0.360	0.3282
0.470	0.150	0.005871	0.021492	1.013076	0.067680	0.527140	12.84	98.29	0.00	36.21	2000	64.28	0.228	0.3069
0.480	0.153	0.002444	0.019962	1.050028	0.027012	0.459641	5.88	99.30	0.00	36.98	2000	59.70	0.095	0.2850
0.490	0.156	-0.001010	0.018393	1.089590	-0.010715	0.398122	0.00	99.99	0.00	37.75	2000	55.01	-0.039	0.2626
0.500	0.159	-0.004900	0.016789	1.132303	-0.049916	0.342032	0.00	99.99	0.00	38.52	2000	50.21	-0.190	0.2397
0.510	0.162	-0.008389	0.015122	1.179357	-0.082129	0.290304	0.00	99.99	0.00	39.29	2000	45.23	-0.326	0.2159
0.520	0.166	-0.012269	0.013475	1.230554	-0.115543	0.244030	0.00	99.99	0.00	40.06	2000	40.30	-0.476	0.1924
0.530	0.169	-0.015320	0.011758	1.288866	-0.138885	0.201119	0.00	99.99	0.00	40.83	2000	35.17	-0.595	0.1679
0.540	0.172	-0.018249	0.010035	1.355467	-0.159361	0.162287	0.00	99.99	0.00	41.60	2000	30.01	-0.708	0.1433
0.550	0.175	-0.021638	0.008304	1.433867	-0.182147	0.127093	0.00	99.99	0.00	42.37	2000	24.83	-0.840	0.1186
0.560	0.178	-0.025092	0.006516	1.532459	-0.203751	0.094487	0.00	99.99	0.00	43.14	2000	19.49	-0.974	0.0930
0.570	0.181	-0.028448	0.004764	1.660653	-0.222967	0.065508	0.00	99.99	0.00	43.91	2000	14.25	-1.104	0.0680
0.580	0.185	-0.031897	0.002941	1.860914	-0.241455	0.038385	0.00	99.99	0.00	44.68	2000	8.80	-1.238	0.0420
0.590	0.188	-0.035204	0.001070	2.317132	-0.257529	0.013271	0.00	99.99	0.00	45.45	2000	3.20	-1.367	0.0153
0.600	0.191	-0.038686	-0.000830	2.479108	-0.273646	-0.009790	0.98	56.92	0.00	46.22	2000	-2.48	-1.502	-0.0119
