v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[MW]	[kN]	[kNm]
4.620	1.471	0.514977	4.437690	3.429340	0.061439	0.114596	53.61	91.96	17.00	355.89	2000	13.272	19.993	63.368
4.640	1.477	0.514976	4.457920	3.441054	0.060910	0.113637	53.60	91.98	17.00	357.43	2000	13.332	19.993	63.657
4.660	1.483	0.514967	4.478236	3.452745	0.060388	0.112691	53.59	91.99	9.00	358.98	2000	13.393	19.993	63.947
4.680	1.490	0.514943	4.498571	3.464423	0.059870	0.111758	53.57	92.00	9.00	360.52	2000	13.454	19.992	64.237
4.700	1.496	0.514910	4.519031	3.476072	0.059357	0.110839	53.55	92.01	9.00	362.06	2000	13.515	19.991	64.530
4.720	1.502	0.514869	4.539465	3.487716	0.058851	0.109931	53.53	92.02	9.00	363.60	2000	13.576	19.989	64.821
4.740	1.509	0.514825	4.560020	3.499331	0.058350	0.109036	53.51	92.03	0.00	365.14	2000	13.638	19.987	65.115
4.760	1.515	0.514769	4.580716	3.510915	0.057855	0.108156	53.49	92.05	0.00	366.68	2000	13.700	19.985	65.410
4.780	1.522	0.514708	4.601467	3.522481	0.057365	0.107288	53.47	92.06	0.00	368.22	2000	13.762	19.983	65.707
4.800	1.528	0.514634	4.622256	3.534032	0.056880	0.106432	53.44	92.07	0.00	369.76	2000	13.824	19.980	66.004
4.820	1.534	0.514565	4.643140	3.545559	0.056401	0.105587	53.42	92.08	0.00	371.30	2000	13.886	19.977	66.302
4.840	1.541	0.514487	4.664131	3.557060	0.055927	0.104755	53.39	92.09	0.00	372.84	2000	13.949	19.974	66.602
4.860	1.547	0.514406	4.685270	3.568530	0.055459	0.103936	53.36	92.10	0.00	374.38	2000	14.012	19.971	66.903
4.880	1.553	0.514318	4.706525	3.579973	0.054996	0.103129	53.33	92.12	0.00	375.92	2000	14.076	19.968	67.207
4.900	1.560	0.514226	4.727899	3.591389	0.054538	0.102334	53.29	92.13	0.00	377.46	2000	14.140	19.964	67.512
4.920	1.566	0.524235	4.740239	3.604168	0.055149	0.101355	54.41	91.99	0.00	379.00	2000	14.177	20.353	67.688
5.020	1.598	0.534988	4.839727	3.662179	0.054060	0.097420	55.49	91.87	0.00	386.71	2000	14.474	20.770	69.109
5.120	1.630	0.550849	4.918907	3.723028	0.053510	0.093325	57.34	91.68	0.00	394.41	2000	14.711	21.386	70.240
5.220	1.662	0.548785	5.002024	3.783044	0.051286	0.089552	57.27	91.76	0.00	402.11	2000	14.960	21.306	71.426
5.240	1.668	0.548291	5.018202	3.795086	0.050850	0.088817	57.25	91.77	0.00	403.65	2000	15.008	21.286	71.657
5.260	1.674	0.547772	5.034197	3.807148	0.050416	0.088087	57.23	91.79	0.00	405.20	2000	15.056	21.266	71.886
5.280	1.681	0.547241	5.050137	3.819208	0.049986	0.087366	57.21	91.81	0.00	406.74	2000	15.103	21.246	72.114
5.300	1.687	0.546691	5.065947	3.831279	0.049560	0.086651	57.19	91.82	0.00	408.28	2000	15.151	21.224	72.339
5.320	1.693	0.546101	5.081520	3.843376	0.049135	0.085941	57.17	91.84	0.00	409.82	2000	15.197	21.201	72.562
5.340	1.700	0.545500	5.096848	3.855502	0.048714	0.085235	57.15	91.86	0.00	411.36	2000	15.243	21.178	72.781
5.360	1.706	0.544883	5.112284	3.867602	0.048296	0.084540	57.13	91.87	0.00	412.90	2000	15.289	21.154	73.001
5.380	1.713	0.544227	5.127483	3.879729	0.047880	0.083849	57.10	91.89	0.00	414.44	2000	15.335	21.129	73.218
5.400	1.719	0.543568	5.142650	3.891852	0.047469	0.083166	57.08	91.91	0.00	415.98	2000	15.380	21.103	73.435
5.420	1.725	0.542888	5.157545	3.904008	0.047060	0.082487	57.05	91.93	0.00	417.52	2000	15.425	21.077	73.647
5.440	1.732	0.542196	5.172479	3.916149	0.046655	0.081817	57.02	91.95	0.00	419.06	2000	15.469	21.050	73.860
5.460	1.738	0.541489	5.187259	3.928304	0.046254	0.081152	57.00	91.96	0.00	420.60	2000	15.514	21.022	74.072
5.480	1.744	0.540733	5.201945	3.940464	0.045852	0.080494	56.96	91.98	0.00	422.14	2000	15.557	20.993	74.281
5.500	1.751	0.539988	5.216377	3.952655	0.045457	0.079840	56.93	92.00	0.00	423.68	2000	15.601	20.964	74.487
5.520	1.757	0.539208	5.230670	3.964858	0.045063	0.079192	56.90	92.02	0.00	425.22	2000	15.643	20.934	74.691
5.540	1.763	0.538402	5.244831	3.977072	0.044671	0.078549	56.87	92.04	0.00	426.76	2000	15.686	20.903	74.894
5.560	1.770	0.537609	5.258945	3.989285	0.044285	0.077914	56.84	92.06	0.00	428.31	2000	15.728	20.872	75.095
5.580	1.776	0.536785	5.272954	4.001505	0.043901	0.077284	56.80	92.08	0.00	429.85	2000	15.770	20.840	75.295
5.600	1.783	0.535947	5.286889	4.013728	0.043520	0.076661	56.77	92.09	0.00	431.39	2000	15.811	20.807	75.494
5.620	1.789	0.535066	5.300504	4.025992	0.043139	0.076041	56.73	92.11	0.00	432.93	2000	15.852	20.773	75.689
5.640	1.795	0.534205	5.314079	4.038253	0.042765	0.075428	56.70	92.13	0.00	434.47	2000	15.893	20.740	75.882
5.660	1.802	0.533299	5.327518	4.050526	0.042391	0.074820	56.66	92.15	0.00	436.01	2000	15.933	20.704	76.074
5.680	1.808	0.532400	5.340973	4.062789	0.042022	0.074219	56.62	92.17	0.00	437.55	2000	15.973	20.670	76.266
5.700	1.814	0.531494	5.354324	4.075059	0.041657	0.073624	56.58	92.19	0.00	439.09	2000	16.013	20.634	76.457
5.720	1.821	0.530559	5.367528	4.087344	0.041293	0.073034	56.54	92.21	0.00	440.63	2000	16.053	20.598	76.646
5.740	1.827	0.529620	5.380780	4.099613	0.040934	0.072452	56.50	92.23	0.00	442.17	2000	16.092	20.562	76.835
5.760	1.833	0.528669	5.393844	4.111903	0.040577	0.071874	56.46	92.25	0.00	443.71	2000	16.131	20.525	77.021
5.780	1.840	0.527723	5.406935	4.124180	0.040224	0.071303	56.41	92.27	0.00	445.25	2000	16.170	20.488	77.208
5.800	1.846	0.526730	5.419875	4.136473	0.039872	0.070737	56.37	92.29	0.00	446.79	2000	16.209	20.449	77.393
5.820	1.853	0.525744	5.432535	4.148800	0.039525	0.070174	56.32	92.31	0.00	448.33	2000	16.247	20.411	77.574
5.840	1.859	0.524753	5.445100	4.161134	0.039180	0.069616	56.28	92.33	0.00	449.87	2000	16.285	20.373	77.753
5.860	1.865	0.523728	5.457741	4.173448	0.038837	0.069065	56.23	92.36	0.00	451.42	2000	16.322	20.333	77.934
5.880	1.872	0.522725	5.470258	4.185774	0.038500	0.068520	56.19	92.38	0.00	452.96	2000	16.360	20.294	78.113
5.900	1.878	0.521696	5.482671	4.198108	0.038164	0.067979	56.14	92.40	0.00	454.50	2000	16.397	20.254	78.290
5.920	1.884	0.520642	5.494986	4.210449	0.037830	0.067444	56.09	92.42	0.00	456.04	2000	16.434	20.213	78.466
