v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[kW]	[kN]	[Nm]
0.000	0.000	0.082408	0.011633	0.000077	9.999999	9.999999	0.02	0.01	0.00 !	0.00	2000	34.792	3.1993	166.12
0.050	0.016	0.063967	0.013770	0.117810	9.999999	9.999999	23.23	21.72	18.00 !	3.85	2000	41.183	2.4834	196.63
0.100	0.032	0.027686	0.013274	0.237357	7.050199	9.999999	20.86	51.93	18.00 !	7.70	2000	39.697	1.0749	189.54
0.110	0.035	0.026668	0.013120	0.261700	5.612300	9.999999	22.36	55.81	18.00 !	8.47	2000	39.239	1.0353	187.35
0.160	0.051	0.021552	0.012160	0.386487	2.143773	7.559741	28.36	71.92	18.00	12.33	2000	36.366	0.8367	173.64
0.210	0.067	0.016029	0.010976	0.517764	0.925596	3.017989	30.67	83.59	18.00	16.18	2000	32.825	0.6223	156.73
0.260	0.083	0.010040	0.009525	0.659483	0.378187	1.379970	27.41	91.88	18.00	20.03	2000	28.485	0.3898	136.01
0.270	0.086	0.008756	0.009213	0.689415	0.305872	1.191971	25.66	93.23	18.00	20.80	2000	27.554	0.3400	131.56
0.280	0.089	0.007452	0.008881	0.720224	0.242034	1.030190	23.49	94.50	18.00	21.57	2000	26.560	0.2893	126.81
0.290	0.092	0.006109	0.008540	0.751799	0.184991	0.891718	20.75	95.68	18.00	22.34	2000	25.542	0.2372	121.95
0.300	0.095	0.004848	0.008161	0.784827	0.137172	0.769683	17.82	96.73	18.00	23.11	2000	24.407	0.1882	116.53
0.310	0.099	0.003469	0.007770	0.818984	0.091930	0.664182	13.84	97.76	18.00	23.88	2000	23.238	0.1347	110.95
0.320	0.102	0.002053	0.007386	0.854016	0.051053	0.573997	8.89	98.73	18.00	24.65	2000	22.090	0.0797	105.47
0.330	0.105	0.000655	0.006986	0.890574	0.015320	0.495014	3.09	99.61	18.00	25.42	2000	20.893	0.0254	99.75
0.340	0.108	-0.000838	0.006568	0.928947	-0.018463	0.425543	0.00	99.99	18.00	26.19	2000	19.643	-0.0325	93.79
0.350	0.111	-0.002255	0.006121	0.969843	-0.046869	0.363554	0.00	99.99	18.00	26.96	2000	18.306	-0.0875	87.41
0.360	0.115	-0.003748	0.005665	1.013126	-0.073643	0.309192	0.00	99.99	18.00	27.73	2000	16.942	-0.1455	80.89
0.370	0.118	-0.005181	0.005221	1.058404	-0.096363	0.262474	0.00	99.99	18.00	28.50	2000	15.614	-0.2011	74.55
0.380	0.121	-0.006742	0.004732	1.108612	-0.118897	0.219588	0.00	99.99	18.00	29.27	2000	14.151	-0.2618	67.57
0.390	0.124	-0.008286	0.004221	1.164082	-0.138728	0.181197	0.00	99.99	18.00	30.04	2000	12.623	-0.3217	60.27
0.400	0.127	-0.009886	0.003706	1.225404	-0.157340	0.147456	0.00	99.99	18.00	30.81	2000	11.083	-0.3838	52.92
0.410	0.131	-0.011539	0.003165	1.296338	-0.174802	0.116927	0.00	99.99	18.00	31.58	2000	9.465	-0.4480	45.19
0.420	0.134	-0.013182	0.002605	1.380714	-0.190286	0.089520	0.00	99.99	18.00	32.35	2000	7.789	-0.5118	37.19
0.430	0.137	-0.014869	0.002045	1.483649	-0.204773	0.065497	0.00	99.99	18.00	33.12	2000	6.116	-0.5772	29.20
0.440	0.140	-0.016533	0.001426	1.631677	-0.217467	0.042626	0.00	99.99	18.00	33.89	2000	4.264	-0.6419	20.36
0.450	0.143	-0.018327	0.000820	1.864063	-0.230461	0.022912	0.00	99.99	18.00	34.67	2000	2.452	-0.7115	11.71
0.460	0.146	-0.020054	0.000172	2.604626	-0.241337	0.004495	0.00	99.99	18.00	35.44	2000	0.514	-0.7786	2.45
0.470	0.150	-0.021834	-0.000476	2.170277	-0.251695	-0.011683	1.17	57.69	18.00	36.21	2000	-1.425	-0.8477	-6.80
