v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[MW]	[kN]	[kNm]
0.000	0.000	0.239666	1.221076	0.000030	9.999999	9.999999	0.00	0.01	95.00 !	0.00	2000	3.6519	9.305	17.436
0.100	0.032	0.143536	0.606667	0.110512	9.999999	9.999999	2.37	27.54	95.00 !	7.70	2000	1.8144	5.573	8.663
0.200	0.064	0.149850	0.653853	0.217738	9.539744	9.999999	4.58	46.19	95.00 !	15.41	2000	1.9555	5.818	9.337
0.300	0.095	0.154939	0.706701	0.321569	4.383868	9.999999	6.58	59.03	85.00	23.11	2000	2.1135	6.015	10.091
0.400	0.127	0.158654	0.751940	0.423471	2.525059	9.999999	8.44	68.08	85.00	30.81	2000	2.2488	6.159	10.737
0.500	0.159	0.162643	0.800624	0.522738	1.656670	9.999999	10.16	74.45	85.00	38.52	2000	2.3944	6.314	11.433
0.600	0.191	0.170826	0.859909	0.618388	1.208345	9.999999	11.92	78.68	85.00	46.22	2000	2.5717	6.632	12.279
0.700	0.223	0.185215	0.934639	0.709528	0.962541	6.938890	13.87	81.31	85.00	53.92	2000	2.7952	7.191	13.346
0.800	0.255	0.204527	1.025143	0.796037	0.813786	5.098644	15.96	82.97	85.00	61.63	2000	3.0659	7.940	14.639
0.900	0.286	0.220758	1.119380	0.879928	0.694018	3.910122	17.75	84.42	85.00	69.33	2000	3.3477	8.571	15.984
1.000	0.318	0.233599	1.210399	0.962530	0.594855	3.082255	19.30	85.72	85.00	77.03	2000	3.6199	9.069	17.284
1.100	0.350	0.244942	1.294892	1.044590	0.515488	2.477397	20.81	86.81	85.00	84.74	2000	3.8726	9.509	18.490
1.200	0.382	0.262212	1.325639	1.134217	0.463693	1.953538	23.74	87.44	83.00	92.44	2000	3.9646	10.180	18.929
1.300	0.414	0.279224	1.352747	1.223771	0.420732	1.567930	26.83	87.96	83.00	100.14	2000	4.0457	10.840	19.317
1.400	0.446	0.295494	1.382706	1.312146	0.383913	1.283175	29.92	88.39	83.00	107.85	2000	4.1353	11.472	19.744
1.500	0.477	0.310914	1.416081	1.399180	0.351883	1.068450	32.93	88.77	83.00	115.55	2000	4.2351	12.071	20.221
1.600	0.509	0.325125	1.453096	1.484777	0.323408	0.903388	35.80	89.11	80.00	123.25	2000	4.3458	12.622	20.749
1.700	0.541	0.338124	1.494051	1.568830	0.297933	0.774388	38.47	89.41	77.00	130.96	2000	4.4682	13.127	21.334
1.800	0.573	0.349594	1.538487	1.651406	0.274763	0.671764	40.90	89.70	73.00	138.66	2000	4.6011	13.572	21.969
1.900	0.605	0.359682	1.586078	1.732562	0.253718	0.588849	43.09	89.98	73.00	146.36	2000	4.7435	13.964	22.648
2.000	0.637	0.368890	1.636889	1.812284	0.234842	0.521038	45.07	90.22	69.00	154.07	2000	4.8954	14.322	23.374
2.100	0.668	0.377395	1.691475	1.890454	0.217920	0.465102	46.85	90.45	64.00	161.77	2000	5.0587	14.652	24.153
2.200	0.700	0.385387	1.750423	1.966953	0.202765	0.418615	48.44	90.65	59.00	169.47	2000	5.2350	14.962	24.995
2.300	0.732	0.394272	1.814481	2.041631	0.189793	0.379760	49.98	90.79	53.00	177.18	2000	5.4266	15.307	25.910
2.400	0.764	0.410798	1.881247	2.115057	0.181613	0.346539	52.41	90.75	53.00	184.88	2000	5.6262	15.949	26.863
2.500	0.796	0.430364	1.946371	2.188240	0.175346	0.317209	55.28	90.64	47.00	192.58	2000	5.8210	16.708	27.793
2.600	0.828	0.448921	2.006345	2.261998	0.169108	0.290687	58.18	90.53	40.00	200.29	2000	6.0004	17.429	28.650
2.700	0.859	0.462437	2.062019	2.336174	0.161534	0.266773	60.55	90.52	40.00	207.99	2000	6.1669	17.953	29.445
2.800	0.891	0.467298	2.120476	2.409192	0.151781	0.245980	61.70	90.65	33.00	215.69	2000	6.3417	18.142	30.279
2.900	0.923	0.468138	2.177770	2.481965	0.141748	0.227383	62.34	90.85	25.00	223.40	2000	6.5130	18.175	31.098
3.000	0.955	0.467542	2.231965	2.554958	0.132287	0.210506	62.84	91.05	25.00	231.10	2000	6.6751	18.152	31.871
3.100	0.987	0.465909	2.284580	2.627849	0.123458	0.195282	63.22	91.25	17.00	238.80	2000	6.8325	18.088	32.623
3.200	1.019	0.463345	2.336216	2.700520	0.115224	0.181553	63.47	91.46	9.00	246.51	2000	6.9869	17.989	33.360
3.300	1.050	0.460409	2.384622	2.773512	0.107660	0.168973	63.71	91.66	0.00	254.21	2000	7.1317	17.875	34.051
3.400	1.082	0.466452	2.414672	2.850410	0.102752	0.156445	65.68	91.68	0.00	261.91	2000	7.2215	18.109	34.480
3.500	1.114	0.469360	2.431128	2.930262	0.097569	0.144392	67.57	91.76	0.00	269.62	2000	7.2708	18.222	34.715
3.600	1.146	0.461763	2.451940	3.008850	0.090731	0.133827	67.80	92.00	0.00	277.32	2000	7.3330	17.927	35.013
