# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
9

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,Fuselage,0,TNWQWZQSLZ,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, -1.480000000000000071e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,31,17
# x,y,z,u,w
-9.799806522812071208e+00, -5.968260004313448608e-17, -3.139969752272190995e+00, 5.999999999999999778e-01, 1.000000000000000000e+00
-9.804686054483198632e+00, -6.751090543350253270e-01, -3.048235347287678643e+00, 5.999999999999999778e-01, 1.250000000000000000e+00
-9.820601710931818218e+00, -1.281308523802682231e+00, -2.752104046586546726e+00, 5.999999999999999778e-01, 1.500000000000000000e+00
-9.845027348424469693e+00, -1.741333034631947552e+00, -2.237875436939637197e+00, 5.999999999999999778e-01, 1.750000000000000000e+00
-9.858388832369838539e+00, -1.926122957199064789e+00, -1.573120000000000074e+00, 5.999999999999999778e-01, 2.000000000000000000e+00
-9.846309865315280518e+00, -1.752304043601921935e+00, -9.038202223520828138e-01, 5.999999999999999778e-01, 2.250000000000000000e+00
-9.826564386729009115e+00, -1.296828826643567467e+00, -3.786156505725685739e-01, 5.999999999999999778e-01, 2.500000000000000000e+00
-9.817336302287218430e+00, -6.860868234779371466e-01, -7.150197356289533790e-02, 5.999999999999999778e-01, 2.750000000000000000e+00
-9.815989657889103270e+00, 1.047591991034683143e-15, 2.482720590153175699e-02, 5.999999999999999778e-01, 3.000000000000000000e+00
-9.817336302287216654e+00, 6.860868234779381458e-01, -7.150197356289555994e-02, 5.999999999999999778e-01, 3.250000000000000000e+00
-9.826564386729009115e+00, 1.296828826643566801e+00, -3.786156505725682409e-01, 5.999999999999999778e-01, 3.500000000000000000e+00
-9.846309865315280518e+00, 1.752304043601922157e+00, -9.038202223520839240e-01, 5.999999999999999778e-01, 3.750000000000000000e+00
-9.858388832369838539e+00, 1.926122957199064789e+00, -1.573120000000000074e+00, 5.999999999999999778e-01, 4.000000000000000000e+00
-8.503889267180628764e+00, 2.010810241657133624e+00, -1.595920000000000227e+00, 8.000000000000000444e-01, 0.000000000000000000e+00
-8.501891733615378755e+00, 1.833262538899307348e+00, -2.290601982058562580e+00, 8.000000000000000444e-01, 2.500000000000000000e-01
-8.497946837085258665e+00, 1.361036151319635179e+00, -2.835682696841250738e+00, 8.000000000000000444e-01, 5.000000000000000000e-01
-8.495321833723894045e+00, 7.183908482778591509e-01, -3.166711013678516373e+00, 8.000000000000000444e-01, 7.500000000000000000e-01
-8.494509739284945127e+00, -9.946270404547860269e-18, -3.276261625378698472e+00, 8.000000000000000444e-01, 1.000000000000000000e+00
-8.495321833723894045e+00, -7.183908482778592619e-01, -3.166711013678515929e+00, 8.000000000000000444e-01, 1.250000000000000000e+00
-8.497946837085256888e+00, -1.361036151319634069e+00, -2.835682696841250738e+00, 8.000000000000000444e-01, 1.500000000000000000e+00
-8.501891733615380531e+00, -1.833262538899306016e+00, -2.290601982058563468e+00, 8.000000000000000444e-01, 1.750000000000000000e+00
-8.503889267180628764e+00, -2.010810241657133624e+00, -1.595920000000000227e+00, 8.000000000000000444e-01, 2.000000000000000000e+00
-8.501847843755387046e+00, -1.824093725472986760e+00, -9.050358648134861905e-01, 8.000000000000000444e-01, 2.250000000000000000e+00
-8.499106455084758593e+00, -1.347824177694458392e+00, -3.693692767839251156e-01, 8.000000000000000444e-01, 2.500000000000000000e+00
-8.498509693458405678e+00, -7.088142957799139499e-01, -4.824882924279388918e-02, 8.000000000000000444e-01, 2.750000000000000000e+00
-8.498813919599340849e+00, 1.294939039536230518e-15, 5.693775596597448752e-02, 8.000000000000000444e-01, 3.000000000000000000e+00
-8.498509693458405678e+00, 7.088142957799151711e-01, -4.824882924279402796e-02, 8.000000000000000444e-01, 3.250000000000000000e+00
-8.499106455084758593e+00, 1.347824177694457504e+00, -3.693692767839247271e-01, 8.000000000000000444e-01, 3.500000000000000000e+00
-8.501847843755388823e+00, 1.824093725472987204e+00, -9.050358648134875228e-01, 8.000000000000000444e-01, 3.750000000000000000e+00
-8.503889267180628764e+00, 2.010810241657133624e+00, -1.595920000000000227e+00, 8.000000000000000444e-01, 4.000000000000000000e+00
-7.500000000000000000e+00, 2.049999999999999822e+00, -1.600000000000000089e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
-7.500000000000001776e+00, 1.864695019716891888e+00, -2.306300696901076641e+00, 1.000000000000000000e+00, 2.500000000000000000e-01
-7.500000000000000888e+00, 1.381020855057593533e+00, -2.856356530963859441e+00, 1.000000000000000000e+00, 5.000000000000000000e-01
-7.500000000000000000e+00, 7.267119092163727423e-01, -3.189600988954184757e+00, 1.000000000000000000e+00, 7.500000000000000000e-01
-7.500000000000001776e+00, 0.000000000000000000e+00, -3.299999999999999822e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
-7.500000000000000888e+00, -7.267119092163731864e-01, -3.189600988954184313e+00, 1.000000000000000000e+00, 1.250000000000000000e+00
-7.500000000000000888e+00, -1.381020855057592422e+00, -2.856356530963860330e+00, 1.000000000000000000e+00, 1.500000000000000000e+00
-7.500000000000001776e+00, -1.864695019716890556e+00, -2.306300696901077973e+00, 1.000000000000000000e+00, 1.750000000000000000e+00
-7.500000000000000888e+00, -2.049999999999999822e+00, -1.600000000000000089e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
-7.500000000000000000e+00, -1.864695019716889890e+00, -8.936993030989220932e-01, 1.000000000000000000e+00, 2.250000000000000000e+00
